user_id,income,fixed_expenses,variable_expenses,current_savings,savings_goal,goal_deadline_months
1,141008,43997,34384,272156,362890,24
2,59800,18608,13968,293369,444955,6
3,89974,25462,11060,52481,136860,12
4,76861,29708,15994,39640,180825,6
5,60072,20141,7612,298399,351694,6
6,61993,18575,13236,64923,227542,6
7,74677,29386,14594,267436,429363,6
8,66311,22381,9441,52351,206350,12
9,93040,26492,21274,31202,107151,18
10,116251,40223,27319,58799,148300,24
11,43376,17227,6476,166028,306265,24
12,119504,35643,29133,211709,410967,12
